UNNR;PROPER SHIPPING NAME;HAZARD CLASS;PG
54;CARTRIDGES, SIGNAL;1.3G;II
55;CASES, CARTRIDGE, EMPTY WITH PRIMER;1.4S;II
56;CHARGES, DEPTH;1.1D;II
59;CHARGES, SHAPED, WITHOUT DETONATOR.;1.1D;II
60;CHARGES, SUPPLEMENTARY EXPLOSIVE.;1.1D;II
65;CORD, DETONATING, FLEXIBLE;1.1D;II
66;CORD, IGNITER;1.4G;II
70;CUTTERS, CABLE, EXPLOSIVE;1.4S;II
72;CYCLOTRIMETHYLENETRINITRAMINE, WETTED OR CYCLONITE, WETTED OR HEXOGEN, WETTED OR RDX, WETTED WITH NOT LESS THAN 15 PERCENT WATER BY MASS;1.1D;II
73;DETONATORS FOR AMMUNITION.;1.1B;II
74;DIAZODINITROPHENOL, WETTED WITH NOT LESS THAN 40 PERCENT WATER OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1A;II
74;DIAZODINITROPHENOL, WETTED WITH NOT LESS THAN 40 PERCENT WATER OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1A;II
75;DIETHYLENEGLYCOL DINITRATE, DESENSITIZED WITH NOT LESS THAN 25 PERCENT NON-VOLATILE WATER-INSOLUBLE PHLEGMATIZER, BY MASS;1.1D;II
76;DINITROPHENOL, DRY OR WETTED WITH LESS THAN 15 PERCENT WATER, BY MASS;1.1D;II
77;DINITROPHENOLATES ALKALI METALS, DRY OR WETTED WITH LESS THAN 15 PERCENT WATER, BY MASS;1.3C;II
78;DINITRORESORCINOL, DRY OR WETTED WITH LESS THAN 15 PERCENT WATER, BY MASS;1.1D;II
79;HEXANITRODIPHENYLAMINE OR DIPICRYLAMINE OR HEXYL;1.1D;II
81;EXPLOSIVE, BLASTING, TYPE A.;1.1D;II
82;EXPLOSIVE, BLASTING, TYPE B;1.1D;II
83;EXPLOSIVE, BLASTING, TYPE C;1.1D;II
84;EXPLOSIVE, BLASTING, TYPE D;1.1D;II
92;FLARES, SURFACE;1.3G;II
93;FLARES, AERIAL;1.3G;II
94;FLASH POWDER;1.1G;II
99;FRACTURING DEVICES, EXPLOSIVE, WITHOUT DETONATORS FOR OIL WELLS.;1.1D;II
101;FUSE, NON-DETONATING INSTANTANEOUS OR QUICKMATCH.;1.3G;II
102;CORD DETONATING OR FUSE DETONATING METAL CLAD.;1.2D;II
103;FUSE, IGNITER TUBULAR METAL CLAD;1.4G;II
104;CORD, DETONATING, MILD EFFECT OR FUSE, DETONATING, MILD EFFECT METAL CLAD.;1.4D;II
105;FUSE, SAFETY;1.4S;II
106;FUZES, DETONATING;1.1B;II
107;FUZES, DETONATING;1.2B;II
110;GRENADES, PRACTICE, HAND OR RIFLE;1.4S;II
113;GUANYL NITROSAMINOGUANYLIDENE HYDRAZINE, WETTED WITH NOT LESS THAN 30 PERCENT WATER, BY MASS;1.1A;II
114;GUANYL NITROSAMINOGUANYLTETRAZENE, WETTED OR TETRAZENE, WETTED WITH NOT LESS THAN 30 PERCENT WATER OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1A;II
118;HEXOLITE, OR HEXOTOL DRY OR WETTED WITH LESS THAN 15 PERCENT WATER, BY MASS;1.1D;II
121;IGNITERS;1.1G;II
124;JET PERFORATING GUNS, CHARGED OIL WELL, WITH DETONATOR;1.1D;II
124;JET PERFORATING GUNS, CHARGED OIL WELL, WITHOUT DETONATOR;1.1D;II
129;LEAD AZIDE, WETTED WITH NOT LESS THAN 20 PERCENT WATER OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1A;II
130;LEAD STYPHNATE, WETTED OR LEAD TRINITRORESORCINATE, WETTED WITH NOT LESS THAN 20 PERCENT WATER OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1A;II
131;LIGHTERS, FUSE;1.4S;II
132;DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES, N.O.S.;1.3C;II
133;MANNITOL HEXANITRATE, WETTED OR NITROMANNITE, WETTED WITH NOT LESS THAN 40 PERCENT WATER, OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1D;II
135;MERCURY FULMINATE, WETTED WITH NOT LESS THAN 20 PERCENT WATER, OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1A;II
136;MINES WITH BURSTING CHARGE;1.1F;II
137;MINES WITH BURSTING CHARGE;1.1D;II
138;MINES WITH BURSTING CHARGE;1.2D;II
143;NITROGLYCERIN, DESENSITIZED WITH NOT LESS THAN 40 PERCENT NON-VOLATILE WATER INSOLUBLE PHLEGMATIZER, BY MASS;1.1D;II
144;NITROGLYCERIN, SOLUTION IN ALCOHOL, WITH MORE THAN 1 PERCENT BUT NOT MORE THAN 10 PERCENT NITROGYLCERIN;1.1D;II
146;NITROSTARCH, DRY OR WETTED WITH LESS THAN 20 PERCENT WATER, BY MASS;1.1D;II
147;NITRO UREA;1.1D;II
150;PENTAERYTHRITE TETRANITRATE, WETTED OR PENTAERYTHRITOL TETRANITRATE, WETTED, OR PETN, WETTED WITH NOT LESS THAN 25 PERCENT WATER, BY MASS, OR PENTAERYTHRITE TETRANITRATE, OR PENTAERYTHRITOL TETRANITRATE OR PETN, DESENSITIZED WITH NOT LESS THAN 15 PERCENT PHLEGMATIZER BY MASS;1.1D;II
151;PENTOLITE, DRY OR WETTED WITH LESS THAN 15 PERCENT WATER, BY MASS;1.1D;II
153;TRINITROANILINE OR PICRAMIDE;1.1D;II
154;TRINITROPHENOL OR PICRIC ACID, DRY OR WETTED WITH LESS THAN 30 PERCENT WATER, BY MASS;1.1D;II
155;TRINITROCHLOROBENZENE OR PICRYL CHLORIDE;1.1D;II
159;POWDER CAKE, WETTED OR POWDER PASTE, WETTED WITH NOT LESS THAN 25 PERCENT WATER, BY MASS;1.3C;II
160;POWDER, SMOKELESS;1.1C;II
161;POWDER, SMOKELESS;1.3C;II
167;PROJECTILES, WITH BURSTING CHARGE;1.1F;II
168;PROJECTILES, WITH BURSTING CHARGE;1.1D;II
169;PROJECTILES, WITH BURSTING CHARGE;1.2D;II
171;AMMUNITION, ILLUMINATING WITH OR WITHOUT BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.2G;II
173;RELEASE DEVICES, EXPLOSIVE;1.4S;II
174;RIVETS, EXPLOSIVE;1.4S;II
180;ROCKETS, WITH BURSTING CHARGE;1.1F;II
181;ROCKETS, WITH BURSTING CHARGE;1.1E;II
182;ROCKETS, WITH BURSTING CHARGE;1.2E;II
183;ROCKETS, WITH INERT HEAD;1.3C;II
186;ROCKET MOTORS;1.3C;II
190;SAMPLES, EXPLOSIVE, OTHER THAN INITIATING EXPLOSIVES ;;II
191;SIGNAL DEVICES, HAND;1.4G;II
192;SIGNALS, RAILWAY TRACK, EXPLOSIVE;1.1G;II
193;SIGNALS, RAILWAY TRACK, EXPLOSIVE;1.4S;II
194;SIGNALS, DISTRESS, SHIP;1.1G;II
195;SIGNALS, DISTRESS, SHIP;1.3G;II
196;SIGNALS, SMOKE;1.1G;II
197;SIGNALS, SMOKE;1.4G;II
204;SOUNDING DEVICES, EXPLOSIVE;1.2F;II
207;TETRANITROANILINE;1.1D;II
208;TRINITROPHENYLMETHYLNITRAMINE OR TETRYL;1.1D;II
209;TRINITROTOLUENE OR TNT, DRY OR WETTED WITH LESS THAN 30 PERCENT WATER, BY MASS;1.1D;II
212;TRACERS FOR AMMUNITION;1.3G;II
213;TRINITROANISOLE;1.1D;II
214;TRINITROBENZENE, DRY OR WETTED WITH LESS THAN 30 PERCENT WATER, BY MASS;1.1D;II
215;TRINITROBENZOIC ACID, DRY OR WETTED WITH LESS THAN 30 PERCENT WATER, BY MASS;1.1D;II
216;TRINITRO-M-CRESOL;1.1D;II
217;TRINITRONAPHTHALENE;1.1D;II
218;TRINITROPHENETOLE;1.1D;II
219;TRINITRORESORCINOL OR STYPHNIC ACID, DRY OR WETTED WITH LESS THAN 20 PERCENT WATER, OR MIXTURE OF ALCOHOL AND WATER, BY MASS;1.1D;II
220;UREA NITRATE, DRY OR WETTED WITH LESS THAN 20 PERCENT WATER, BY MASS;1.1D;II
221;WARHEADS, TORPEDO WITH BURSTING CHARGE;1.1D;II
222;AMMONIUM NITRATE, WITH MORE THAN 0.2 PERCENT COMBUSTIBLE SUBSTANCES, INCLUDING ANY ORGANIC SUBSTANCE CALCULATED AS CARBON, TO THE EXCLUSION OF ANY OTHER ADDED SUBSTANCE;1.1D;II
224;BARIUM AZIDE, DRY OR WETTED WITH LESS THAN 50 PERCENT WATER, BY MASS;1.1A;II
225;BOOSTERS WITH DETONATOR;1.1B;II
226;CYCLOTETRAMETHYLENETETRANITRAMINE, WETTED OR HMX, WETTED OR OCTOGEN, WETTED WITH NOT LESS THAN 15 PERCENT WATER, BY MASS;1.1D;II
234;SODIUM DINITRO-O-CRESOLATE, DRY OR WETTED WITH LESS THAN 15 PERCENT WATER, BY MASS;1.3C;II
235;SODIUM PICRAMATE, DRY OR WETTED WITH LESS THAN 20 PERCENT WATER, BY MASS;1.3C;II
236;ZIRCONIUM PICRAMATE, DRY OR WETTED WITH LESS THAN 20 PERCENT WATER, BY MASS;1.3C;II
237;CHARGES, SHAPED, FLEXIBLE, LINEAR.;1.4D;II
238;ROCKETS, LINE-THROWING;1.2G;II
240;ROCKETS, LINE-THROWING;1.3G;II
241;EXPLOSIVE, BLASTING, TYPE E;1.1D;II
242;CHARGES, PROPELLING, FOR CANNON.;1.3C;II
243;AMMUNITION, INCENDIARY, WHITE PHOSPHORUS, WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.2H;II
244;AMMUNITION, INCENDIARY, WHITE PHOSPHORUS, WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.3H;II
245;AMMUNITION SMOKE, WHITE PHOSPHORUS WITH BURSTER,EXPELLING CHARGE, OR PROPELLING CHARGE;1.2H;II
245;AMMUNITION SMOKE, WHITE PHOSPHORUS WITH BURSTER,EXPELLING CHARGE, OR PROPELLING CHARGE;1.2H;II
246;AMMUNITION, SMOKE, WHITE PHOSPHORUS WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.3H;II
247;AMMUNITION, INCENDIARY LIQUID OR GEL, WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.3J;II
248;CONTRIVANCES, WATER-ACTIVATED, WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE.;1.2L;II
249;CONTRIVANCES, WATER-ACTIVATED, WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE.;1.3L;II
250;ROCKET MOTORS WITH HYPERGOLIC LIQUIDS WITH OR WITHOUT AN EXPELLING CHARGE;1.3L;II
254;AMMUNITION, ILLUMINATING WITH OR WITHOUT BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.3G;II
255;DETONATORS, ELECTRIC, FOR BLASTING;1.4B;II
257;FUZES, DETONATING;1.4B;II
266;OCTOLITE OR OCTOL, DRY OR WETTED WITH LESS THAN 15 PERCENT WATER, BY MASS;1.1D;II
267;DETONATORS, NON-ELECTRIC, FOR BLASTING;1.4B;II
268;BOOSTERS WITH DETONATOR;1.2B;II
271;CHARGES, PROPELLING;1.1C;II
272;CHARGES, PROPELLING;1.3C;II
275;CARTRIDGES, POWER DEVICE;1.3C;II
276;MODEL ROCKET MOTOR;1.4C;II
276;CARTRIDGES, POWER DEVICE;1.4C;II
277;CARTRIDGES, OIL WELL;1.3C;II
278;CARTRIDGES, OIL WELL;1.4C;II
279;CHARGES, PROPELLING, FOR CANNON.;1.1C;II
280;ROCKET MOTORS;1.1C;II
281;ROCKET MOTORS;1.2C;II
282;NITROGUANIDINE OR PICRITE, DRY OR WETTED WITH LESS THAN 20 PERCENT WATER, BY MASS;1.1D;II
283;BOOSTERS, WITHOUT DETONATOR;1.2D;II
284;GRENADES, HAND OR RIFLE, WITH BURSTING CHARGE;1.1D;II
285;GRENADES, HAND OR RIFLE, WITH BURSTING CHARGE;1.2D;II
286;WARHEADS, ROCKET WITH BURSTING CHARGE;1.1D;II
287;WARHEADS, ROCKET WITH BURSTING CHARGE;1.2D;II
288;CHARGES, SHAPED, FLEXIBLE, LINEAR.;1.1D;II
289;CORD, DETONATING, FLEXIBLE;1.4D;II
290;CORD, DETONATING OR FUSE, DETONATING METAL CLAD;1.1D;II
291;BOMBS, WITH BURSTING CHARGE;1.2F;II
292;GRENADES, HAND OR RIFLE, WITH BURSTING CHARGE;1.1F;II
293;GRENADES, HAND OR RIFLE, WITH BURSTING CHARGE;1.2F;II
294;MINES WITH BURSTING CHARGE;1.2F;II
295;ROCKETS, WITH BURSTING CHARGE;1.2F;II
296;SOUNDING DEVICES, EXPLOSIVE;1.1F;II
297;AMMUNITION, ILLUMINATING WITH OR WITHOUT BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.4G;II
299;BOMBS, PHOTO-FLASH;1.3G;II
300;AMMUNITION, INCENDIARY WITH OR WITHOUT BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.4G;II
301;AMMUNITION, TEAR-PRODUCING WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.4G;II
303;AMMUNITION, SMOKE WITH OR WITHOUT BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.4G;II
305;FLASH POWDER;1.3G;II
306;TRACERS FOR AMMUNITION;1.4G;II
312;CARTRIDGES, SIGNAL;1.4G;II
313;SIGNALS, SMOKE;1.2G;II
314;IGNITERS;1.2G;II
315;IGNITERS;1.3G;II
316;FUZES, IGNITING;1.3G;II
317;FUZES, IGNITING;1.4G;II
318;GRENADES, PRACTICE, HAND OR RIFLE;1.3G;II
319;PRIMERS, TUBULAR;1.3G;II
320;PRIMERS, TUBULAR;1.4G;II
321;CARTRIDGES FOR WEAPONS, WITH BURSTING CHARGE;1.2E;II
322;ROCKET MOTORS WITH HYPERGOLIC LIQUIDS WITH OR WITHOUT AN EXPELLING CHARGE;1.2L;II
323;MODEL ROCKET MOTOR;1.4S;II
323;CARTRIDGES, POWER DEVICE;1.4S;II
324;PROJECTILES, WITH BURSTING CHARGE;1.2F;II
325;IGNITERS;1.4G;II
326;CARTRIDGES FOR WEAPONS, BLANK;1.1C;II
327;CARTRIDGES FOR WEAPONS, BLANK OR CARTRIDGES, SMALL ARMS, BLANK;1.3C;II
328;CARTRIDGES FOR WEAPONS, INERT PROJECTILE;1.2C;II
329;TORPEDOES WITH BURSTING CHARGE;1.1E;II
330;TORPEDOES WITH BURSTING CHARGE;1.1F;II
331;AMMONIUM NITRATE-FUEL OIL MIXTURE CONTAINING ONLY PRILLED AMMONIUM NITRATE AND FUEL OIL;1.5D;II
331;EXPLOSIVE, BLASTING, TYPE B OR AGENT BLASTING, TYPE B;1.5D;II
332;EXPLOSIVE, BLASTING, TYPE E OR AGENT BLASTING, TYPE E.;1.5D;II
333;FIREWORKS;1.1G;II
334;FIREWORKS;1.2G;II
335;FIREWORKS;1.3G;II
336;FIREWORKS;1.4G;II
337;TOY CAPS;1.4S;II
337;FIREWORKS;1.4S;II
338;CARTRIDGES FOR WEAPONS, BLANK OR CARTRIDGES, SMALL ARMS, BLANK;1.4C;II
339;CARTRIDGES FOR WEAPONS, INERT PROJECTILE OR CARTRIDGES, SMALL ARMS;1.4C;II
340;NITROCELLULOSE, DRY OR WETTED WITH LESS THAN 25 PERCENT WATER (OR ALCOHOL), BY MASS;1.1D;II
341;NITROCELLULOSE, UNMODIFIED OR PLASTICIZED WITH LESS THAN 18 PERCENT PLASTICIZING SUBSTANCE, BY MASS;1.1D;II
342;NITROCELLULOSE, WETTED WITH NOT LESS THAN 25 PERCENT ALCOHOL, BY MASS;1.3C;II
343;NITROCELLULOSE, PLASTICIZED WITH NOT LESS THAN 18 PERCENT PLASTICIZING SUBSTANCE, BY MASS;1.3C;II
344;PROJECTILES, WITH BURSTING CHARGE;1.4D;II
345;PROJECTILES, INERT, WITH TRACER;1.4S;II
346;PROJECTILES, WITH BURSTER OR EXPELLING CHARGE;1.2D;II
347;PROJECTILES, WITH BURSTER OR EXPELLING CHARGE;1.4D;II
348;CARTRIDGES FOR WEAPONS, WITH BURSTING CHARGE;1.4F;II
349;ARTICLES, EXPLOSIVE, N.O.S.;1.4S;II
350;ARTICLES, EXPLOSIVE, N.O.S.;1.4B;II
351;ARTICLES, EXPLOSIVE, N.O.S.;1.4C;II
352;ARTICLES, EXPLOSIVE, N.O.S.;1.4D;II
353;ARTICLES, EXPLOSIVE, N.O.S.;1.4G;II
354;ARTICLES, EXPLOSIVE, N.O.S.;1.1L;II
355;ARTICLES, EXPLOSIVE, N.O.S.;1.2L;II
356;ARTICLES, EXPLOSIVE, N.O.S.;1.3L;II
357;SUBSTANCES, EXPLOSIVE, N.O.S.;1.1L;II
358;SUBSTANCES, EXPLOSIVE, N.O.S.;1.2L;II
359;SUBSTANCES, EXPLOSIVE, N.O.S.;1.3L;II
360;DETONATOR ASSEMBLIES, NON-ELECTRIC FOR BLASTING;1.1B;II
361;DETONATOR ASSEMBLIES, NON-ELECTRIC, FOR BLASTING.;1.4B;II
362;AMMUNITION, PRACTICE;1.4G;II
363;AMMUNITION, PROOF;1.4G;II
364;DETONATORS FOR AMMUNITION;1.2B;II
365;DETONATORS FOR AMMUNITION.;1.4B;II
366;DETONATORS FOR AMMUNITION;1.4S;II
367;FUZES, DETONATING;1.4S;II
368;FUZES, IGNITING;1.4S;II
369;WARHEADS, ROCKET WITH BURSTING CHARGE;1.1F;II
370;WARHEADS, ROCKET WITH BURSTER OR EXPELLING CHARGE;1.4D;II
371;WARHEADS, ROCKET WITH BURSTER OR EXPELLING CHARGE;1.4F;II
372;GRENADES, PRACTICE, HAND OR RIFLE;1.2G;II
373;SIGNAL DEVICES, HAND;1.4S;II
374;SOUNDING DEVICES, EXPLOSIVE;1.1D;II
375;SOUNDING DEVICES, EXPLOSIVE;1.2D;II
376;PRIMERS, TUBULAR;1.4S;II
377;PRIMERS, CAP TYPE;1.1B;II
378;PRIMERS, CAP TYPE;1.4B;II
379;CASES, CARTRIDGES, EMPTY WITH PRIMER;1.4C;II
380;ARTICLES, PYROPHORIC;1.2L;II
381;CARTRIDGES, POWER DEVICE;1.2C;II
382;COMPONENTS, EXPLOSIVE TRAIN, N.O.S.;1.2B;II
383;COMPONENTS, EXPLOSIVE TRAIN, N.O.S.;1.4B;II
384;COMPONENTS, EXPLOSIVE TRAIN, N.O.S.;1.4S;II
385;5-NITROBENZOTRIAZOL;1.1D;II
386;TRINITROBENZENESULFONIC ACID;1.1D;II
387;TRINITROFLUORENONE;1.1D;II
388;TRINITROTOLUENE AND TRINITROBENZENE MIXTURES OR TNT AND TRINITROBENZENE MIXTURES OR TNT AND HEXANITROSTILBENE MIXTURES OR TRINITROTOLUENE AND HEXANITROSTILNENE MIXTURES;1.1D;II
389;TRINITROTOLUENE MIXTURES CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE OR TNT MIXTURES CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE;1.1D;II
390;TRITONAL;1.1D;II
391;RDX AND HMX MIXTURES, WETTED WITH NOT LESS THAN 15 PERCENT WATER BY MASS OR RDX AND HMX MIXTURES, DESENSITIZED WITH NOT LESS THAN 10 PERCENT PHLEGMATIZER BY MASS;1.1D;II
392;HEXANITROSTILBENE;1.1D;II
393;HEXOTONAL;1.1D;II
394;TRINITRORESORCINOL, WETTED OR STYPHNIC ACID, WETTED WITH NOT LESS THAN 20 PERCENT WATER, OR MIXTURE OF ALCOHOL AND WATER BY MASS;1.1D;II
395;ROCKET MOTORS, LIQUID FUELED;1.2J;II
396;ROCKET MOTORS, LIQUID FUELED;1.3J;II
397;ROCKETS, LIQUID FUELED WITH BURSTING CHARGE;1.1J;II
398;ROCKETS, LIQUID FUELED WITH BURSTING CHARGE;1.2J;II
399;BOMBS WITH FLAMMABLE LIQUID, WITH BURSTING CHARGE;1.1J;II
400;BOMBS WITH FLAMMABLE LIQUID, WITH BURSTING CHARGE;1.2J;II
401;DIPICRYL SULFIDE, DRY OR WETTED WITH LESS THAN 10 PERCENT WATER, BY MASS;1.1D;II
402;AMMONIUM PERCHLORATE;1.1D;II
403;FLARES, AERIAL;1.4G;II
404;FLARES, AERIAL;1.4S;II
405;CARTRIDGES, SIGNAL;1.4S;II
406;DINITROSOBENZENE;1.3C;II
407;TETRAZOL-1-ACETIC ACID;1.4C;II
408;FUZES, DETONATING, WITH PROTECTIVE FEATURES;1.1D;II
409;FUZES, DETONATING, WITH PROTECTIVE FEATURES;1.2D;II
410;FUZES, DETONATING, WITH PROTECTIVE FEATURES;1.4D;II
411;PENTAERYTHRITE TETRANITRATE OR PENTAERYTHRITOL TETRANITRATE OR PETN, WITH NOT LESS THAN 7 PERCENT WAX BY MASS;1.1D;II
412;CARTRIDGES FOR WEAPONS, WITH BURSTING CHARGE;1.4E;II
413;CARTRIDGES FOR WEAPONS, BLANK;1.2C;II
414;CHARGES, PROPELLING, FOR CANNON.;1.2C;II
415;CHARGES, PROPELLING;1.2C;II
417;CARTRIDGES FOR WEAPONS, INERT PROJECTILE OR CARTRIDGES, SMALL ARMS;1.3C;II
418;FLARES, SURFACE;1.1G;II
419;FLARES, SURFACE;1.2G;II
420;FLARES, AERIAL;1.1G;II
421;FLARES, AERIAL;1.2G;II
424;PROJECTILES, INERT, WITH TRACER;1.3G;II
425;PROJECTILES, INERT, WITH TRACER;1.4G;II
426;PROJECTILES, WITH BURSTER OR EXPELLING CHARGE;1.2F;II
427;PROJECTILES, WITH BURSTER OR EXPELLING CHARGE;1.4F;II
428;ARTICLES, PYROTECHNIC FOR TECHNICAL PURPOSES;1.1G;II
429;ARTICLES, PYROTECHNIC FOR TECHNICAL PURPOSES;1.2G;II
430;ARTICLES, PYROTECHNIC FOR TECHNICAL PURPOSES;1.3G;II
431;ARTICLES, PYROTECHNIC FOR TECHNICAL PURPOSES;1.4G;II
432;ARTICLES, PYROTECHNIC FOR TECHNICAL PURPOSES;1.4S;II
433;POWDER CAKE, WETTED OR POWDER PASTE, WETTED WITH NOT LESS THAN 17 PERCENT ALCOHOL BY MASS;1.1C;II
434;PROJECTILES, WITH BURSTER OR EXPELLING CHARGE;1.2G;II
435;PROJECTILES, WITH BURSTER OR EXPELLING CHARGE;1.4G;II
436;ROCKETS, WITH EXPELLING CHARGE;1.2C;II
437;ROCKETS, WITH EXPELLING CHARGE;1.3C;II
438;ROCKETS, WITH EXPELLING CHARGE;1.4C;II
439;CHARGES, SHAPED, WITHOUT DETONATOR.;1.2D;II
440;CHARGES, SHAPED, WITHOUT DETONATOR.;1.4D;II
441;CHARGES, SHAPED, WITHOUT DETONATOR.;1.4S;II
442;CHARGES, EXPLOSIVE, COMMERCIAL WITHOUT DETONATOR.;1.1D;II
443;CHARGES, EXPLOSIVE, COMMERCIAL WITHOUT DETONATOR.;1.2D;II
444;CHARGES, EXPLOSIVE, COMMERCIAL WITHOUT DETONATOR.;1.4D;II
445;CHARGES, EXPLOSIVE, COMMERCIAL WITHOUT DETONATOR.;1.4S;II
446;CASES, COMBUSTIBLE, EMPTY, WITHOUT PRIMER;1.4C;II
447;CASES, COMBUSTIBLE, EMPTY, WITHOUT PRIMER;1.3C;II
448;5-MERCAPTOTETRAZOL-1-ACETIC ACID;1.4C;II
449;TORPEDOES, LIQUID FUELED, WITH OR WITHOUT BURSTING CHARGE;1.1J;II
450;TORPEDOES, LIQUID FUELED, WITH INERT HEAD;1.3J;II
451;TORPEDOES WITH BURSTING CHARGE;1.1D;II
452;GRENADES PRACTICE HAND OR RIFLE;1.4G;II
453;ROCKETS, LINE-THROWING;1.4G;II
454;IGNITERS;1.4S;II
455;DETONATORS, NON-ELECTRIC, FOR BLASTING.;1.4S;II
456;DETONATORS, ELECTRIC FOR BLASTING;1.4S;II
457;CHARGES, BURSTING, PLASTICS BONDED;1.1D;II
458;CHARGES, BURSTING, PLASTICS BONDED.;1.2D;II
459;CHARGES, BURSTING, PLASTICS BONDED;1.4D;II
460;CHARGES, BURSTING, PLASTICS BONDED;1.4S;II
461;COMPONENTS, EXPLOSIVE TRAIN, N.O.S.;1.1B;II
462;ARTICLES, EXPLOSIVE, N.O.S.;1.1C;II
463;ARTICLES, EXPLOSIVE, N.O.S.;1.1D;II
464;ARTICLES, EXPLOSIVE, N.O.S.;1.1E;II
465;ARTICLES, EXPLOSIVE, N.O.S.;1.1F;II
466;ARTICLES, EXPLOSIVE, N.O.S.;1.2C;II
467;ARTICLES, EXPLOSIVE, N.O.S.;1.2D;II
468;ARTICLES, EXPLOSIVE, N.O.S.;1.2E;II
469;ARTICLES, EXPLOSIVE, N.O.S.;1.2F;II
470;ARTICLES, EXPLOSIVE, N.O.S.;1.3C;II
471;ARTICLES, EXPLOSIVE, N.O.S.;1.4E;II
472;ARTICLES, EXPLOSIVE, N.O.S.;1.4F;II
